a [a:]
gwask [gwa:sk]
gwaska [‘gwaska]
gwedhan [‘gwɛðan]
gwedhek [‘gwɛðɛk]
gwaskans [‘gwaskans]
gwedhow [‘gwɛðɔʊ]
gwaskedh [‘gwaskɛð]
gwaskell [‘gwaskɛl]
gwedhra [‘gwɛðra]
gwastas [‘gwastas]
gwedhwes [‘gwɛðwɛs]
gwastel [‘gwastɛl]
gwedhyn [‘gwɛðɪn]
gwastya [‘gwastja]
gwav [gwa:v]
gwedhynder [gwɛ’ðɪndɛr]
gwavek [‘gwavɛk]
gwavi [‘gwavi]
gwavos [‘gwavos]
gwaya [‘gwaja]
gwedren [‘gwɛdrɛn]
gwayadow [gwa’jadɔʊ]
gwedrennas [gwɛd’rɛn:as]
gwedrik [‘gwɛdrɪk]
gwellheans [ˌgwɛlˑ’hɛ:ans]
gwels [gwɛlz]
gwelsen [‘gwɛlzɛn]
gwelsigow [gwɛl’zɪgɔʊ]
gwelsow [‘gwɛlzɔʊ]
gwelva [‘gwɛlva]
gweladewder [ˌgwɛla’dɛʊdɛr]
gwen [gwɛ:n]
gwenen [‘gwɛnɛn]
gweladow [gwɛ’ladɔʊ]
Gwener [‘gwɛnɛr]
gwenn [gwɛn:]
gwelen [‘gwɛlɛn]
gwennel [‘gwɛn:ɛl]
gwennen [‘gwɛn:ɛn]
gwenogen [gwɛ’nɔgɛn]
gwelennik [gwɛ’lɛn:ɪk]
gwenon [‘gwɛnɔn]
gweles [‘gwɛlɛs]
gwenonek [gwɛ’nɔnɛk]
gwenton [‘gwɛntɔn]
gwelesek [gwɛ’lɛzɛk]
gwelesigeth [ˌgwɛlɛ’zɪgɛθ]
gweli [‘gwɛli]
gwelivedhes [ˌgwɛlɪ’vɛðɛs]
gwelivos [gwɛ’livɔs]
gweresek [gwɛ’rɛzɛk]
gwereser [gwɛ’rɛzɛr]
gwell [gwɛl:]
gweresores [ˌgwɛrɛ’zɔrɛs]
gwella [‘gwɛl:a]
gwerghes [‘gwɛrhɛs]
gwellhe [ˌgwɛlˑ’hɛ:]
gwerik [‘gwɛrɪk]
gwerthveurheans [ˌgwɛrθfœr’hɛ:ans]
gwerin [‘gwɛrɪn]
gwerwyn [‘gwɛrwɪn]
gwerinek [gwɛ’rɪnɛk]
gweskel [‘gwɛskɛl]
gwerinel [gwɛ’rinɛl]
gwerinieth [ˌgwɛrɪ’ni:ɛθ]
gweriniether [gwɛˌrɪni’ɛθɛr]
gweriniethores [ˌgwɛrɪˌniɛ’θɔrɛs]
gwester [‘gwɛstɛr]
gwesti [‘gwɛsti]
gwerinor [gwɛ’rɪnɔr]
gwestores [gwɛs’tɔrɛs]
gwerinores [ˌgwɛrɪ’nɔrɛs]
gwestva [‘gwɛstva]
gweth [gwɛ:θ]
gwethafor [gwɛ’θafɔr]
Gwernenys [gwɛr’nɛnɪs]
gwethafores [ˌgwɛθa’fɔrɛs]
gwernis [‘gwɛrnɪs]
gwethaforieth [ˌgwɛθa’fɔrjɛθ]
gwernisya [gwɛr’nɪsja]
gwers [gwɛrz]
gwethhe [ˌgwɛθ’hɛ:]
gwersella [gwɛr’zɛl:a]
gwersellans [gwɛr’zɛl:ans]
gwethheans [gwɛθ’hɛ:ans]
gwerth [gwɛrθ]
gwettha [‘gwɛθ:a]
gweun [‘gwø:n]
gwertha [‘gwɛrθa]
gweus [gwø:z]
gwerthas [‘gwɛrθas]
gwevya [‘gwɛ:vja]
gwerther [‘gwɛrθɛr]
gwewen [‘gwɛwɛn]
gwerthji [‘gwɛrθʤi]
gwerthores [gwɛr’θɔrɛs]
gweytha [‘gwɛɪθa]
gwerthveurhe [ˌgwɛrθfœr’hɛ:]
gweythor [‘gwɛɪθɔr]
gweythores [gwɛɪ’θɔres]
gwinwel [‘gwɪnwɛl]
gweythresans [gwɛɪθ’rɛzans]
gwinwelen [gwɪn’wɛlɛn]
gweythresek [gwɛɪθ’rɛzɛk]
gwir [gwi:r]
gweythva [‘gwɛɪθfa]
gwi [gwi:]
gwirbryntyans [gwɪr’brɪntjans]
gwia [‘gwi:a]
gwirhaval [gwɪr’haval]
gwiader [gwi’adɛr]
gwirhe [ˌgwɪr’hɛ:]
gwiadores [ˌgwia’dɔrɛs]
gwirhevelepter [gwɪrˌhɛvɛ’lɛptɛr]
gwias [‘gwi:as]
gwirvos [‘gwɪrvɔs]
gwirya [‘gwɪrja]
gwiasedh [gwi’azɛð]
gwiryon [‘gwɪrjɔn]
gwiaspost [gwi’aspɔst]
gwiryonedh [gwɪr’jɔnɛð]
gwiasva [gwi’azva]
gwiryonedhek [ˌgwɪrjɔ’nɛðɛk]
gwiasvester [ˌgwiˑaz’vɛ:stɛr]
gwis [gwi:z]
gwisk [gwi:sk]
gwiasvestres [ˌgwiˑaz’vɛ:strɛs]
gwiska [‘gwɪska]
gwibes [‘gwibɛs]
gwiskas [‘gwɪskas]
gwibessa [gwɪ’bɛsa]
gwiskti [‘gwɪskti]
gwiek [‘gwi:ɛk]
gwiskva [‘gwɪskva]
gwig [gwi:g]
gwighal [‘gwɪhal]
gwith [gwi:θ]
gwikor [‘gwɪkɔr]
gwikores [gwɪ’kɔrɛs]
gwitha [‘gwiθa]
gwin [gwi:n]
gwithans [‘gwiθans]
gwinbren [‘gwɪnbrɛn]
gwithti [‘gwɪθti]
gwinlan [‘gwɪnlan]
gwithva [‘gwɪθfa]
gwreg [gwrɛ:g]
gwithyades [gwɪθ’jadɛs]
gwregel [‘gwrɛgɛl]
gwresek [‘gwrɛzɛk]
ti [gwrɛ’ti:]
gwithyas [‘gwɪθjas]
gwreydh [gwrɛɪð]
gwreydhek [‘gwrɛɪðɛk]
gwreydhyel [‘gwrɛɪðjɛl]
gwithyasel [gwɪθ’jazɛl]
gwreydhyoleth [gwrɛɪð’jɔlɛθ]
gwius [‘gwi:ʏs]
gwri [‘gwri:]
gwiver [‘gwivɛr]
gwrians [‘gwri:ans]
gwivren [‘gwɪvrɛn]
gwiw [gwiˑʊ]
gwrias [‘gwri:az]
gwiwder [‘gwiʊdɛr]
gwrier [‘gwri:ɛr]
gwiwer [‘gwiwɛr]
gwlan [gwla:n]
gwlanek [‘gwlanɛk]
gwriores [gwri’ɔrɛs]
gwruthyl [‘gwrʏθɪl]
gwlas [gwla:z]
gwlasek [‘gwlazek]
gwryghonek [gwrɪ’hɔnɛk]
gwlaskar [‘gwlaskar]
gwlaskarer [gwlas’karɛr]
gwrynnya [‘gwrɪn:ja]
gwlaskarores [ˌgwlaska’rɔrɛs]
gwrys [gwrɪ:z]
gwryth [gwrɪ:θ]
gwrythyans [‘gwrɪθjans]
gwlaskerensa [ˌgwlaskɛ’rɛnsa]
gwlaskor [‘gwlaskɔr]
gwledh [gwlɛ:ð]
gwradhel [‘gwraðɛl]
gwragh [gwra:x]
gwydh [gwɪ:ð]
gwreck [‘gwrɛk]
gwyrgh [gwɪrx]
gwydhbol [‘gwɪðbɤl]
gwythi [‘gwɪθi]
gwydhvos [‘gwɪðvɔs]
gwythiek [gwɪ’θi:ɛk]
gwydhyow [‘gwɪðjɔʊ]
gyllys [‘gɪl:ɪs]
gymnastek [gɪm’nastɛk]
gyth [gɪ:θ]
habadolya [ˌhaba’dɤlja]
hackya [‘hakja]
gwyles [‘gwɪlɛs]
gan [ˌhagan]
gwylgos [‘gwɪlgɤs]
gas [ˌhagan]
hagensoll [ˌhagɛnz’ɔl:]
gwyll [gwɪl:]
hager [‘hagɛr]
gwyls [gwɪlz]
hager-awel [ˌhagɛr’awɛl]
gwylvos [‘gwɪlvɔs]
gwynder [‘gwɪndɛr]
hager-bryv [ˌhagɛr’brɪ:v]
gwynk [gwɪŋk]
gwynkya [‘gwɪŋkja]
gwynn [gwɪn:]
hager-dowl [ˌhagɛr’dɔʊl]
gwynnek [‘gwɪn:ɛk]
hager-dros [ˌhagɛr’drɔ:z]
gwynnel [‘gwɪn:ɛl]
hager-gowas [ˌhagɛr’gɔwas]
Gwynngala [ˌgwɪnˑ’gala]
hager-ober [ˌhagɛr’ɔbɛr]
gwynnik [‘gwɪn:ɪk]
gwynnrudh [‘gwɪnrʏð]
hager-vargen [ˌhagɛr’vargɛn]
gwynnvys [ˌgwɪnˑ’vɪ:z]
hager-viaj [ˌhagɛr’vi:aʤ]
gwynsek [‘gwɪnzɛk]
hagoll [hag’ɔl:]
gwynsel [‘gwɪnzɛl]
hagra [‘hagra]
gwynsella [gwɪn’zɛl:a]
gwyrdh [gwɪrð]
hakter [‘haktɛr]
hal [ha:l]
hanter [‘hantɛr]
halya [‘halja]
halyans [‘haljans]
m [ham]
hamster [‘hamstɛr]
hanter- [‘hantɛr-]
hantera [han’tɛra]
hanterbogalen [hanˌtɛrbɔ’galɛn]
hanaf [‘hanaf]
hanafas [‘hanafas]
hanter-dydh [ˌhantɛr’dɪ:ð]
hantergelgh [han’tɛrgɛlx]
hanajen [ha’naʤɛn]
hanas [‘hanas]
hanterkans [ˌhantɛr’kans]
hanasa [ha’naza]
hanterkansves [ˌhantɛr’kanzvɛs]
hanter-nos [ˌhantɛr’nɔ:z]
hanwans [‘hanwans]
handla [‘handla]
happ [hap]
happya [‘hapja]
handlans [‘handlans]
hapriv [‘haprɪv]
haneth [‘hanɛθ]
hapwari [hap’wari]
hangya [‘haŋgja]
harber [‘harbɛr]
hanow [‘hanɔʊ]
harbereth [har’bɛrɛθ]
hardh [harð]
hardigras [ˌhardɪ’gra:s]
hardlych [‘har(d)lɪʧ]
harmonika [har’mɔnɪka]
hansel [‘hansɛl]
harow [‘harɔʊ]
harth [harθ]
hartha [‘harθa]
hebaska [hɛ’baska]
has [‘ha:z]
hebaskhe [ˌhɛbask’hɛ:]
hasa [‘haza]
haslet [‘hazlɛt]
heblek [‘hɛblɛk]
hebleth [‘hɛblɛθ]
haslettyans [haz’lɛtjans]
hebtu [hɛb’ty:]
hast [ha:st]
hebtueth [hɛb’ty:ɛθ]
hastya [‘ha:stya]
hedardh [hɛ’darð]
th [haθ]
hedeuth [‘hɛdœθ]
hatt [hat]
hedh [hɛ:ð]
hatya [‘ha:tja]
hedhadow [hɛ’ðadɔʊ]
hav [ha:v]
hedhas [‘hɛðas]
haval [‘haval]
hedhes [‘hɛðɛs]
hedheuryer [hɛð’œrjɛr]
havek [‘havɛk]
havi [‘havi]
hedhi [‘hɛði]
havos [‘havɔs]
hedhlor [‘hɛðlɔr]
havyades [hav’jadɛs]
hedhyans [‘hɛðjans]
hedhyw [‘hɛðɪʊ]
havyas [‘havjas]
w [haʊ]
hawn [hawn]
hay [haˑɪ]
hedor [‘hɛdɔr]
Hedra [‘hɛdra]
heb [hɛb]
hefordh [‘hɛfɔrð]
hegar [‘hɛgar]
hegaredh [hɛ’garɛð]
hegas [‘hɛgas]
heglow [‘hɛglɔʊ]
hebask [‘hɛbask]
hegol [‘hɛgɔl]
hembrenkyas [hɛm’brɛŋkjas]
hegoledh [hɛ’gɤlɛð]
hegos [‘hɛgɔs]
hembronk [‘hɛmbrɔŋk]
hegov [‘hɛgɔv]
hemma [‘hɛm:a]
hen [hɛ:n]
helder [‘hɛldɛr]
heledh [‘hɛlɛð]
hendas [‘hɛndas]
helergh [hɛ’lɛrx]
hendedhyow [ˌhɛn’dɛðjɔʊ]
helerghel [hɛ’lɛrhɛl]
helerghi [hɛ’lɛrhi]
helerghyades [ˌhɛlɛrx’jadɛs]
helerghyas [hɛ’lɛrxjas]
helgh [hɛlx]
hendhillas [hɛn’ðɪl:as]
helghi [‘hɛlhi]
helghor [‘hɛlhɔr]
hendhyskonieth [hɛnˌðɪskɔ’ni:ɛθ]
helghores [hɛl’hɔrɛs]
hendhyskoniethel [ˌhɛnðɪskˌɔni’ɛθɛl]
helghya [‘hɛlxja]
hendhyskonydh [ˌhɛnðɪsk’ɔnɪð]
helghyades [hɛlx’jadɛs]
hendhyskonydhes [hɛnˌðɪskɔ’nɪðɛs]
helghyas [‘hɛlxjas]
hendra [‘hɛndra]
helgi [‘hɛlgi]
helgik [‘hɛlgɪk]
henedh [‘hɛnɛð]
hell [hɛl:]
hengov [‘hɛŋgɔv]
helosk [‘hɛlɔsk]
helyk [‘hɛlɪk]
hengovek [hɛn’gɔvɛk]
hembrenkyades [ˌhɛmbrɛŋk’jadɛs]
henhwedhel [hɛn’ʍɛðɛl]
henlavar [hɛn’lavar]
henlavarek [ˌhɛnla’varɛl]
hesk [hɛ:sk]
henledan [hɛn’lɛdan]
henn [hɛn:]
hesken [‘hɛskɛn]
henna [‘hɛn:a]
heskenna [hɛs’kɛn:a]
hester [‘hɛstɛr]
hesya [‘hɛzja]
heudh [hø:ð]
heudhadow [hœ’ðadɔʊ]
henwel [‘hɛnwɛl]
henwys [‘hɛnwɪs]
heudhi [‘hœði]
henys [‘hɛnɪs]
heudhik [‘hœðɪk]
hepfordh [‘hɛpfɔrð]
heuthhe [ˌhœθ’hɛ:]
hepken [hɛp’kɛ:n]
heveladow [ˌhɛvɛ’ladɔʊ]
hepkor [‘hɛpkɔr]
hevelenep [ˌhɛvɛl’ɛnɛp]
heptu [hɛp’ty:]
hevelep [hɛ’vɛlɛp]
heptueth [hɛp’ty:ɛθ]
her [hɛ:r]
herdhya [‘hɛrðja]
hevelepter [ˌhɛvɛ’lɛptɛr]
heveli [hɛ’vɛli]
herdhyans [‘hɛrðjans]
hermesek [hɛr’mɛzɛk]
hevis [‘hɛvɪs]
hevlena [hɛv’lɛna]
hern [hɛrn]
hevleni [hɛv’lɛni]
hewel [‘hɛwɛl]
hernes [‘hɛrnɛs]
heweledh [hɛ’wɛlɛð]
hernessya [hɛr’nɛsja]
heweres [hɛ’wɛrɛs]
hernya [‘hɛrnja]
herwydh [‘hɛrwɪð]
hewol [‘hɛwɤl]
hewul [‘hɛwʏl]
heyjik [‘hɛɪʤɪk]
heyl [hɛɪl]
heylyn [‘hɛɪlɪn]
herya [‘hɛrja]
hes [hɛ:z]
hi [hi:]
hick [hɪk]
hickas [‘hɪkas]
hirra [‘hɪr:a]
hidrojen [‘hɪdrɔʤɛn]
hirwelyek [hɪr’wɛljɛk]
hidrolek [hɪd’rɔ:lɛk]
higen [‘higɛn]
hoba [‘hɔba]
hobadolya [ˌhɔba’dɔlja]
hil [hi:l]
hilegydh [hɪ’lɛgɪð]
hobi [‘hɔbi]
hilegydhes [ˌhɪlɛ’gɪðɛs]
hobihors [‘hɔbɪhɔrs]
hilgasieth [ˌhɪlga’zi:ɛθ]
hocki [‘hɔki]
hin [hi:n]
hockya [‘hɔkja]
hinek [‘hinɛk]
hir [hi:r]
hockyans [‘hɔkjans]
hirbedrek [hɪr’bɛdrɛk]
hod [hɔ:d]
hodya [‘hɔdja]
hodys [‘hɔdɪs]
hirbrederi [ˌhɪrbrɛ’dɛri]
hirbren [‘hɪrbrɛn]
hogh [hɔ:x]
hirbrena [hɪr’brɛna]
hok [hɔ:k]
hirder [‘hɪrdɛr]
holan [‘hɤlan]
hireth [‘hirɛθ]
holanek [hɤ’lanɛk]
holanen [hɤ’lanɛn]
hirethek [hɪ’rɛθɛk]
holograf [‘hɔlɔgraf]
hirgelgh [‘hɪrgɛlx]
holya [‘hɔlja]
hirgelhek [hɪr’gɛlhɛk]
holyans [‘hɔljans]
hirgorn [‘hɪrgɔrn]
holyer [‘hɔljɛr]
holyores [hɔl’jɔrɛs]
hirgren [‘hɪrgrɛn]
hirgrennen [hɪr’grɛn:ɛn]
homeli [‘hɔmɛli]
homma [‘hɔm:a]
honan [‘hɔnɐn]
hirhe [ˌhɪr’hɛ:]
hirneth [‘hɪrnɛθ]
honangonstrinus [hɔˌnangɔn’strinʏs]
honanieth [ˌhɔnə’niɛθ]
howlleski [hɔʊl’lɛski]
howlleskys [hɔʊl’lɛskɪs]
honanus [hɔ’nanʏs]
honanuster [ˌhɔna’nʏstɛr]
howllosk [‘hɔʊllɔsk]
hond [hɔnd]
howlsedhes [hɔʊl’zɛðɛs]
honen [‘hɔnɐn]
howlvleujen [hɔʊl’vlœʤɛn]
howlwedrow [hɔʊl’wɛdrɔʊ]
honna [‘hɔn:a]
howlyek [‘hɔʊljɛk]
hons [hɔns]
howtyn [‘hɔʊtɪn]
hora [‘hɔ:ra]
hudel [‘hʏdɛl]
hordh [hɔrð]
huder [‘hʏdɛr]
horji [‘hɔrʤi]
horn [hɔrn]
hudores [hʏ’dɔrɛs]
hujes [‘hʏʤɛs]
hornek [‘hɔrnɛk]
huk [hy:k]
hornell [‘hɔrnɛl]
hornella [hɔr’nɛl:a]
hulla [‘hʏl:a]
horner [‘hɔrnɛr]
hunek [‘hʏnɛk]
hornores [hɔr’nɔrɛs]
hungan [‘hʏŋgan]
horsen [‘hɔrsɛn]
Hungarek [hʏŋ’garɛk]
hos [hɔ:z]
hungarek [hʏŋ’garɛk]
hosan [‘hɔzan]
Hungari [hʏŋ’gari]
Hungarian [ˌhyŋga’ri:an]
hostelri [(h)ɔs’tɛlri]
Hungarianes [hyŋˌgari’anɛs]
hou [hu:]
howl [hɔʊl]
huni [‘hʏni]
howldrehevel [ˌhɔʊldrɛ’hɛvɛl]
howldrevel [hɔʊl’drɛvɛl]
hunros [‘hʏnrɔs]
hunrosa [hʏn’rɔza]
hunyek [‘hʏnjɛk]
howllen [‘hɔul:ɛn]
hurlya [‘hʏrlja]
hurtya [‘hʏrtja]
hwedhlek [‘ʍɛðlɛk]
hus [hy:z]
hwedhlor [‘ʍɛðlɔr]
husa [‘hʏza]
hwedhlores [ʍɛð’lɔrɛs]
hwaff [ʍaf]
hwaffa [‘ʍafa]
hwedner [‘ʍɛdnɛr]
hwann [‘ʍan:]
hwans [ʍans]
hweg [ʍɛ:g]
hwansa [‘ʍanza]
hwansek [‘ʍanzɛk]
hwegen [‘ʍɛgɛn]
hwar [ʍa:r]
hware [ʍa’rɛ:]
hweger [‘ʍɛgɛr]
hwarfedhyans [ʍar’fɛðjans]
hwegh [ʍɛ:x]
hweghmis [‘ʍɛxmɪs]
hwarhe [ˌʍar’hɛ:]
hweghves [‘ʍɛxfɛs]
hwarheans [ʍar’hɛ:ans]
hwegoll [ˌʍɛˑg’ɔl:]
hwarhes [ˌʍar’hɛ:z]
hwegron [‘ʍɛgrɔn]
hwarth [‘ʍarθ]
hwegys [‘ʍɛgɪs]
hwarthus [‘ʍarθʏs]
hweja [‘ʍɛʤa]
hwarthuster [ʍar’θʏstɛr]
hwekhe [ˌhwɛk’hɛ:]
hwel [ʍɛ:l]
hwarvedhyans [ʍar’vɛðjans]
hwarvos [‘ʍarvɔs]
hweldro [‘ʍɛldrɔ]
hwelji [‘ʍɛlʤi]
hwenn [ʍɛn:]
hwarvosek [ʍar’vɔzɛk]
hwennen [‘ʍɛn:ɛn]
hwath [ʍa:θ]
hwerow [‘ʍɛrɔʊ]
hwerthin [‘ʍɛrθɪn]
hwattya [‘ʍatja]
hwedh [ʍɛ:ð]
hwedhel [‘ʍɛðɛl]
hwedhi [‘ʍɛði]
hwedhla [‘ʍɛðla]
hwesa [‘ʍɛza]
hwesker [‘ʍɛskɛr]
hwor [ʍɔ:r]
hwetegves [ʍɛ’tɛgvɛz]
hwetek [‘ʍɛtɛk]
hwypp [ʍɪp]
hwyppya [‘ʍɪpja]
hwys [ʍɪ:z]
hwetha [‘ʍɛθɐ]
hwystra [‘ʍɪstra]
hwethans [‘ʍɛθɐnz]
hwystren [‘ʍɪstrɛn]
hwethen [‘ʍɛθɛn]
hwyth [ʍɪ:θ]
hwethfi [‘ʍɛθfi]
Hwevrel [‘ʍɛvrɛl]
hwi [ʍi:]
hwythell [‘ʍɪθɛl]
hwias [‘ʍi:as]
hwiban [‘ʍɪban]
hwibana [ʍɪ’bana]
hyg [hɪ:g]
hwibanans [ʍɪ’banans]
hyga [‘hɪga]
hwibanowl [ʍɪ’banɔʊl]
hyli [‘hɪli]
hymna [‘hɪmna]
hyns [hɪns]
hwil [‘ʍi:l]
hwilas [‘ʍilas]
hynsa [‘hɪnza]
hynt [hɪnt]
hwilva [‘ʍɪlva]
hyntya [‘hɪntja]
hwiogen [ʍi’ɔgɛn]
hys [hɪ:z]
hwiski [‘ʍɪski]
i [i:]
hwithra [‘ʍɪθra]
idhyow [‘ɪðjɔʊ]
ikon [‘i:kɔn]
hwithrans [‘ʍɪθrans]
ikonek [ɪ’kɔnɛk]
ilewydh [ɪ’lɛwɪð]
ilewydhes [ˌilɛ’wɪðɛs]
hwithrer [‘ʍɪθrɛr]
ilowari [ˌilɔ’wari]
hwithrores [ʍɪθ’rɔrɛs]
ilowek [ɪ’lɔwɛk]
imach [‘ɪmaʧ]
hwithrus [‘ʍɪθrʏs]
Inglond [‘ɪŋglɔnd]
islinya [ɪz’linja]
inocent [‘ɪnɔsɛnt]
islonk [‘ɪzlɔŋk]
islonkel [ɪz’lɔŋkɛl]
ion [‘i:ɔn]
ismegen [ɪs’mɛgɛn]
ionek [i’ɔnɛk]
ironek [ɪ’rɔnɛk]
ismek [‘ɪsmɛk]
is- [iz-]
isel [‘izɛl]
isobar [‘i:zɔˌbaˑr]
Iseldiryades [ɪˌzɛldɪr’jadɛs]
isogloss [‘i:zɔˌglɔs]
Iseldiryas [ˌizɛl’dɪrjas]
isotop [‘i:zɔˌtɔˑp]
isotopek [ˌiˑzɔ’tɔpɛk]
Iseldiryek [ˌizɛl’dɪrjɛk]
ispan [‘ɪspan]
iseldiryek [ˌizɛl’dɪrjɛk]
ispoynt [‘ɪspɔɪnt]
Iseldiryow [ˌizɛl’dɪrjɔʊ]
ispoyntegieth [ɪsˌpɔɪntɛ’gi:ɛθ]
iselhe [ˌizɛl’hɛ:]
iselheans [ˌizɛl’hɛ:ans]
ispoyntel [ɪs’pɔɪntɛl]
isella [ɪ’zɛl:a]
isradhek [ɪz’raðɛk]
iselweyth [ɪ’zɛlwɛɪθ]
isradhesiges [ɪzˌraðɛ’zɪgɛs]
isetholans [ˌɪzɛ’θɔlans]
isradhesik [ˌɪzra’ðɛzɪk]
iskaderyer [ˌɪska’dɛrjɛr]
Israel [ˌɪsra’ɛl]
Israelyades [ɪsˌraɛl’jadɛs]
iskaderyores [ɪsˌkader’jɔrɛs]
Israelyas [ˌɪsra’ɛljas]
iskarg [‘ɪskarg]
israelyek [ˌɪsra’ɛljɛk]
iskarga [ɪs’karga]
isrudh [‘ɪzrʏð]
iskevresek [ˌɪskɛv’rɛzɛk]
issavonek [ˌɪsa’vɔnɛk]
iskowethyans [ˌɪskɔ’wɛθjans]
isskrifik [ɪ’skrɪfɪk]
Islam [‘ɪslam]
Islamek [ɪs’lamɛk]
istenna [ɪs’tɛn:a]
islavarek [ˌɪzla’varɛk]
istennans [ɪs’tɛn:ans]
islavrek [ɪz’lavrɛk]
istitel [ɪs’tɪtɛl]
islewydh [ɪz’lɛwɪð]
istitla [ɪs’tɪtla]
istorek [ɪ’stɔrɛk]
islewyhdes [ˌɪzlɛ’wɪðɛs]
istori [‘ɪstɔri]
istorior [ˌɪstɔr’i:ɔr]
jevan [‘ʤɛvan]
istoriores [ɪˌstɔri’ɔ:rɛs]
jins [ji:nz]
jip [ʤi:p]
isyeth [‘ɪzjɛθ]
jiraf [ʤɪ’ra:f]
Italek [ɪ’talɛk]
jogler [‘ʤɔglɛr]
italek [ɪ’talɛk]
Itali [ɪ’tali]
joglores [ʤɔg’lɔrɛs]
Italian [ˌɪta’li:an]
joglya [‘ʤɔglja]
Italianes [ɪˌtali’anɛs]
jolif [‘ʤɔlɪf]
jorna [‘ʤɔrna]
jornal [‘ʤɔrnal]
jornalyades [ˌʤɔrnal’jadɛs]
jagg [ʤag]
jornalyas [ʤɔr’naljas]
jamm [ʤam:]
jouta [‘ʤu:ta]
jammes [‘ʤam:ɛs]
Jovyn [‘ʤɔvɪn]
jowdyn [‘ʤɔʊdɪn]
jangal [‘ʤaŋgal]
jardin [‘ʤardɪn]
jowel [‘ʤɔwɛl]
jowl [ʤɔʊl]
jarrik [‘ʤar:ɪk]
jayler [‘ʤaɪlɛr]
jazz [ʤaz]
joy [ʤɔˑɪ]
Jubyter [ʤʏ’bɪtɛr]
jell [ʤɛl:]
juj [ʤy:ʤ]
jujment [‘ʤʏʤmɛnt]
jujmentus [ʤʏʤ’mɛntʏs]
jentyl [‘ʤɛntɪl]
jujya [‘ʤʏʤja]
junya [‘ʤɤnja]
jentylys [ʤɛn’tɪlɪs]
jerkyn [‘ʤɛrkɪn]
junyans [‘ʤɤnjans]
Jersenys [ʤɛrz’ɛnɪs]
jest [ʤɛ:st]
justifia [ˌʤʏstɪ’fi:a]
jestya [‘ʤɛstja]
justis [‘ʤʏstɪs]
jett [ʤɛt]
justisek [ʤʏs’tisɛk]
kabinet [‘kabɪnɛt]
jy [ʤi]
jyg [ʤɪg]
kabla [‘kabla]
jynevra [ʤɪ’nɛvra]
kabli [‘kabli]
jynjer [‘ʤɪnʤɛr]
kablus [‘kablʏs]
jynjyber [‘ʤɪnʤɪbɛr]
kabluster [kab’lʏstɛr]
jynn [ʤɪn(:)]
jynner [‘ʤɪn:ɛr]
jynnji [‘ʤɪnʤi]
jynnskrifa [ʤɪn’skrifa]
jynnskrifer [ʤɪn’skrifɛr]
jynnskrifores [ˌʤɪnskri’fɔrɛs]
jynnweyth [‘ʤɪnwɛɪθ]
kaboli [ka’bɤli]
jynnweythek [ʤɪn’wɛɪθɛk]
kabolva [ka’bɤlva]
jynnweythor [ʤɪn’wɛɪθɔr]
kachya [‘kaʧja]
kachyans [‘kaʧjans]
jynnweythores [ˌʤɪnwɛɪ’θɔrɛs]
kaderyer [ka’dɛrjɛr]
jynores [ʤɪ’nɔrɛs]
kaderyores [ˌkadɛr’jɔrɛs]
Jypson [‘ʤɪpsɔn]
jypsonek [ʤɪp’sɔnɛk]
Jypsones [ʤɪp’sɔnɛs]
kadon [‘kadɔn]
kabel [‘kabɛl]
kadona [ka’dɔna]
kador [‘kadɔr]
kalmynsi [kal’mɪnzi]
kaffler [‘kaflɛr]
kalori [‘kalɔri]
kagha [‘kaha]
kals [kalz]
kagla [‘kagla]
kalter [‘kaltɛr]
kaja [‘kaʤa]
kamera [‘kamɛra]
kaken [‘ka:kɛn]
kaktus [‘kaktʏs]
kamfor [‘kamfɔr]
kal [kal]
kamil [‘kamɪl]
kala [‘kala]
kalan [‘kalan]
kamma [‘kam:a]
kalaven [ka’lavɛn]
kammamseren [ˌkamam’zɛrɛn]
kalder [‘kaldɛr]
kalender [ka’lɛndɛr]
kammamseryek [ˌkamam’zɛrjɛk]
kales [‘kalɛs]
kammas [‘kam:as]
kammdremena [ˌkamdrɛ’mɛna]
kalesen [ka’lɛzɛn]
kammdremener [ˌkamdrɛ’mɛnɛr]
kalesweyth [ka’lɛzwɛɪθ]
kalesyans [ka’lɛzjans]
kammdremenores [kamˌdrɛmɛ’nɔrɛs]
kaletter [ka’lɛtɛr]
kammdreylya [kam’drɛɪlja]
kalgh [kalx]
kammdro [‘kamdrɔ]
kammdybi [kam’dɪbi]
kammdybyans [ˌkamˑ’dɪbjans]
kalkor [‘kalkɔr]
kammdybys [ˌkamˑ’dɪbɪs]
kalkores [kal’kɔrɛs]
kammen [‘kam:ɛn]
kalkya [‘kalkja]
kall [kal:]
kalmydh [‘kalmɪð]
kammgemeryans [ˌkamˑgɛ’mɛrjans]
kammgemerys [ˌkamgɛ’mɛrɪs]
kanari [ka’nari]
kammgonvedhes [ˌkamˑgɔn’vɛðɛs]
kanasa [ka’naza]
kanasedh [ka’nazɛð]
kammhynsek [kam’hɪnzɛk]
kanasedhi [ˌkana’zɛði]
kammledya [kam’lɛ:dja]
kammneves [ˌkamˑ’nɛvɛs]
kanaseth [ka’nazɛθ]
kammonderstondya [ˌkamˑɔndɛr’stɔndja]
kanatti [ka’nati]
kammusya [ˌkamˑ’y:zja]
kammvreusi [kam’vrœzi]
kaner [‘kanɛr]
